Trs_Id,Agency_Type_Desc,Institution_Type_Desc,Organization_Type_Desc,Fy_Month_Num,Fy_Day_Num,Fy_Year_Num,Company_Nm,Street1_Nm,Street2_Nm,City_Nm,State_Desc,Zip_Cd,Zip_4_Cd,Url_Cd,Ftavc_Cd,Logo_Cd,Service_Area,Service_Area_Population,Waiver_9_Req_Fl,Non_Uza_Served_Fl,Veh_Operated_Comment,Institutional_Structure_Desc,other_Url_Cd,Po_Box,Other_Cap_Use_Comment_Desc,Other_Option_B_Comment_Desc,Voluntary_Reporter_Fl,operate_fgw_mbdo_fl,operate_fgw_mbpt_fl,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
1,2. Public agency or authority that contracts for some or all transit service (not a State DOT),5. Unit of County Government,,12,31,2005,King County Department of Transportation - Metro Transit Division,201 South Jackson Street,M.S. KSC-TR-0333,Seattle,WA,98104,3856,http://transit.metrokc.gov/,1731,King County Metro,2134,1788300,N,,,,,,,,Y,Y,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
2,2. Public agency or authority that contracts for some or all transit service (not a State DOT),1. Independent Agency with an elected Board of Directors,,12,31,2005,Spokane Transit Authority,1230 West Boone Avenue,,Spokane,WA,99201,,spokanetransit.com,1733,STA,142,334857,N,N,,,,,,,Y,N,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
3,2. Public agency or authority that contracts for some or all transit service (not a State DOT),2. Independent Agency with an appointed Board of Directors,,12,31,2005,Pierce County Transportation Benefit Area Authority,"3701 96th Street, S.W.",,Tacoma,WA,98499,70,www.piercetransit.org,1730,Pierce Transit,529,705018,N,N,,,,99070,,,Y,N,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
5,1. Public agency or authority that directly operates all transit service (not a State DOT),4. Unit of City or Municipal Government,,12,31,2005,Everett Transit,3225 Cedar Street,,Everett,WA,98201,,www.everettwa.org/transit/,1743,ET,30,97500,N,,,,,,,,Y,N,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
6,2. Public agency or authority that contracts for some or all transit service (not a State DOT),4. Unit of City or Municipal Government,,12,31,2005,Yakima Transit,2301 Fruitvale Boulevard,,Yakima,WA,98902,1298,www.yakimatransit.org,1750,YT,26,81503,N,,,,,,,,Y,N,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
7,2. Public agency or authority that contracts for some or all transit service (not a State DOT),2. Independent Agency with an appointed Board of Directors,,6,30,2005,Lane Transit District,3500 East 17th Avenue,,Eugene,OR,97403,,www.ltd.org,1738,LTD,241,272272,N,N,,,,,,,Y,N,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
8,2. Public agency or authority that contracts for some or all transit service (not a State DOT),2. Independent Agency with an appointed Board of Directors,,6,30,2005,Tri-County Metropolitan Transportation District of Oregon,4012 Southeast 17th Avenue,,Portland,OR,97202,3940,www.trimet.org,1728,TriMet,574,1253502,N,N,,,,,,,Y,Y,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
11,2. Public agency or authority that contracts for some or all transit service (not a State DOT),1. Independent Agency with an elected Board of Directors,,9,30,2005,ValleyRide,830 North Main Street,Suite 230,Meridian,ID,83642,,www.valleyride.org,1736,ValleyRide,66,272625,N,,,,,,,,Y,N,N,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
12,2. Public agency or authority that contracts for some or all transit service (not a State DOT),4. Unit of City or Municipal Government,,12,31,2005,Municipality of Anchorage - Public Transportation Department,"3650 A East Tudor Road, Building A",,Anchorage,AK,99519,6650,www.peoplemover.org,1707,People Mover,77,218145,N,N,,,,196650,,,Y,N,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
16,2. Public agency or authority that contracts for some or all transit service (not a State DOT),4. Unit of City or Municipal Government,,12,31,2005,Community Urban Bus Service,254 Oregon Way,,Longview,WA,98632,,www.cubs-bus.com,1747,CUBS,21,46210,N,,,,,128,,,Y,N,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
