Name,City,State,Legacy NTD ID,NTD ID,Organization Type,Reporter Type,Primary UZA Population,Agency VOMS,Mode,TOS,Mode VOMS,Vehicle Operations Hours,Vehicle Operations Hours Questionable,Vehicle Maintenance Hours,Vehicle Maintenance Hours Questionable,Facility Maintenance Hours,Facility Maintenance Hours Questionable,General Administration Hours,General Administration Hours Questionable,Capital Labor Hours,Capital Labor Hours Questionable,Total Hours,Total Hours Questionable,Vehicle Operations Count,Vehicle Operations Count Questionable,Vehicle Maintenance Count,Vehicle Maintenance Count Questionable,Facility Maintenance Count,Facility Maintenance Count Questionable,General Administration Count,General Administration Count Questionable,Capital Labor Count,Capital Labor Count Questionable,Total Employee Count,Total Employee Count Questionable,Vehicle Operations Salary Expenses,Vehicle Operations Salary Expenses Questionable,Vehicle Maintenance Salary Expenses,Vehicle Maintenance Salary Expenses Questionable,Facility Maintenance Salary Expenses,Facility Maintenance Salary Expenses Questionable,General Administration Salary Expenses,General Administration Salary Expenses Questionable,Total Operating Salary Expenses,Total Operating Salary Expenses Questionable,Vehicle Operations Average Hourly Wage,Vehicle Operations Average Hourly Wage Questionable,Vehicle Maintenance Average Hourly Wage,Vehicle Maintenance Average Hourly Wage Questionable,Facility Maintenance Average Hourly Wage,Facility Maintenance Average Hourly Wage Questionable,General Administration Average Hourly Wage,General Administration Average Hourly Wage Questionable,Total Operating Average Hourly Wage,Total Operating Average Hourly Wage Questionable,Any data questionable?,,,,,1
MTA New York City Transit,New York,NY,2008,20008,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,"18,351,295","11,004",HR,DO,"5,324","21,747,606",,"8,801,541",,"18,298,241",,"4,378,901",,"7,417,948",,"60,644,237",,"10,444.00",,"5,309.00",,"9,909.00",,"2,460.00",,"3,551.00",,"31,673.00",,"$891,086,200",,"$334,417,994",,"$725,839,054",,"$323,017,380",,"$2,274,360,628",,$40.97,,$38.00,,$33.38,,$73.77,,$37.50,,No,,,,,Hide questionable data tags
MTA New York City Transit,New York,NY,2008,20008,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,"18,351,295","11,004",MB,DO,"3,286","19,022,612",,"6,673,757",,"1,539,082",,"1,643,977",,"720,256",,"29,599,684",,"9,326.80",,"3,329.40",,789.40,,917.40,,439.40,,"14,802.40",,"$776,156,680",,"$224,265,796",,"$54,825,515",,"$79,182,136",,"$1,134,430,127",,$40.80,,$33.60,,$2.88,,$48.17,,$38.33,,No,,,,,Show questionable data tags
MTA New York City Transit,New York,NY,2008,20008,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,"18,351,295","11,004",CB,DO,455,"1,679,091",,"589,080",,"135,852",,"145,111",,"63,576",,"2,612,710",,823.30,,293.90,,69.70,,80.90,,38.80,,"1,306.60",,"$68,848,027",,"$19,906,739",,"$4,866,534",,"$7,028,527",,"$100,649,827",,$41.00,,$33.79,,$2.90,,$48.44,,$38.52,,No,,,,,1
MTA New York City Transit,New York,NY,2008,20008,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,"18,351,295","11,004",RB,DO,145,"552,612",,"193,875",,"44,711",,"47,758",,"20,924",,"859,880",,270.90,,96.70,,22.90,,26.70,,12.80,,430.00,,"$27,016,314",,"$7,811,505",,"$1,909,653",,"$2,758,029",,"$39,495,501",,$48.89,,$40.29,,$3.46,,$57.75,,$45.93,,No,,,,,
New Jersey Transit Corporation,Newark,NJ,2080,20080,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,"18,351,295","4,056",MB,DO,"1,857","6,323,610",,"1,966,292",,"163,513",,"1,728,442",,"96,216",,"10,278,073",,"3,739.00",,"1,191.00",,91.00,,"1,038.00",,53.00,,"6,112.00",,"$217,765,952",,"$65,964,497",,"$6,304,072",,"$60,531,891",,"$350,566,412",,$34.44,,$33.55,,$1.00,,$35.02,,$34.11,,No,,,,,
New Jersey Transit Corporation,Newark,NJ,2080,20080,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,"18,351,295","4,056",CR,DO,"1,267","3,934,211",,"2,382,062",,"1,223,819",,"1,004,044",,"674,347",,"9,218,483",,"1,875.00",,"1,318.00",,616.00,,567.00,,443.00,,"4,819.00",,"$154,961,109",,"$76,213,813",,"$50,260,161",,"$69,622,005",,"$351,057,088",,$39.39,,$31.99,,$12.78,,$69.34,,$38.08,,No,,,,,
New Jersey Transit Corporation,Newark,NJ,2080,20080,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,"18,351,295","4,056",LR,DO,14,"85,403",,"30,102",,"73,072",,"36,357",,"4,678",,"229,612",,47.00,,16.00,,36.00,,25.00,,7.00,,131.00,,"$4,104,793",,"$1,257,060",,"$2,457,195",,"$1,053,096",,"$8,872,144",,$48.06,,$41.76,,$28.77,,$28.97,,$38.64,,No,,,,,
Los Angeles County Metropolitan Transportation Authority dba: Metro,Los Angeles,CA,9154,90154,Independent Public Agency or Authority of Transit Service,Full Reporter,"12,150,996","3,544",MB,DO,"1,777","8,763,922",,"3,080,194",,"367,484",,"1,224,022",,0,,"13,435,622",,"4,221.00",,"1,503.00",,195.00,,649.00,,0.00,,"6,568.00",,"$239,083,882",,"$90,342,092",,"$11,972,239",,"$47,605,661",,"$389,003,874",,$27.28,,$29.33,,$1.37,,$38.89,,$28.95,,No,,,,,
Los Angeles County Metropolitan Transportation Authority dba: Metro,Los Angeles,CA,9154,90154,Independent Public Agency or Authority of Transit Service,Full Reporter,"12,150,996","3,544",LR,DO,161,"1,178,589",,"747,180",,"405,608",,"435,668",,0,,"2,767,045",,573.00,,348.00,,213.00,,209.00,,0.00,,"1,343.00",,"$34,749,486",,"$26,220,108",,"$13,030,639",,"$16,450,742",,"$90,450,975",,$29.48,,$35.09,,$11.06,,$37.76,,$32.69,,No,,,,,
Los Angeles County Metropolitan Transportation Authority dba: Metro,Los Angeles,CA,9154,90154,Independent Public Agency or Authority of Transit Service,Full Reporter,"12,150,996","3,544",HR,DO,70,"435,491",,"385,805",,"278,506",,"177,088",,0,,"1,276,890",,206.00,,197.00,,146.00,,94.00,,0.00,,643.00,,"$13,143,152",,"$11,317,352",,"$8,806,640",,"$6,686,809",,"$39,953,953",,$30.18,,$29.33,,$20.22,,$37.76,,$31.29,,No,,,,,
