AgencyID,Company_Nm,Mode_Cd,Service_Cd,Kwh_Propulsion,Kwh_Charge_Batteries,Gl_Diesel_Num,Gl_Gas_Num,Gl_Lpg_Num,Gl_Lng_Num,Gl_Meth_Num,Gl_Eth_Num,Gl_Cng_Num,Gl_Bunker_Num,Gl_Kero_Num,Gl_Grain_Num,Other_Fuel_Num,Gl_Biodiesel_Num,Other_Energy_Desc
0001,King County Department of Transportation - Metro Transit Division,DR,PT,0,0,"1,028,964","109,412",0,0,0,0,0,0,0,0,0,0,
0001,King County Department of Transportation - Metro Transit Division,MB,DO,0,0,"10,529,600",0,0,0,0,0,0,0,0,0,0,0,
0001,King County Department of Transportation - Metro Transit Division,MB,PT,0,0,"30,127","163,759",0,0,0,0,0,0,0,0,0,0,
0001,King County Department of Transportation - Metro Transit Division,SR,DO,"517,677",0,0,0,0,0,0,0,0,0,0,0,0,0,
0001,King County Department of Transportation - Metro Transit Division,TB,DO,"17,845,802",0,0,0,0,0,0,0,0,0,0,0,0,0,
0001,King County Department of Transportation - Metro Transit Division,VP,DO,0,"379,649",0,"876,562",0,0,0,0,0,0,0,0,0,0,
0002,Spokane Transit Authority,DR,DO,0,0,"119,883","40,393",0,0,0,0,0,0,0,0,0,0,
0002,Spokane Transit Authority,DR,PT,0,0,"103,331","43,250",0,0,0,0,0,0,0,0,0,0,
0002,Spokane Transit Authority,MB,DO,0,0,"1,106,166",0,0,0,0,0,0,0,0,0,0,0,
0002,Spokane Transit Authority,VP,DO,0,0,0,"103,309",0,0,0,0,0,0,0,0,0,0,
0003,Pierce County Transportation Benefit Area Authority,DR,DO,0,0,0,"105,353",0,0,0,0,0,0,0,0,0,0,
0003,Pierce County Transportation Benefit Area Authority,DR,PT,0,0,0,"305,034",0,0,0,0,0,0,0,0,0,0,
0003,Pierce County Transportation Benefit Area Authority,MB,DO,0,0,"73,622",0,0,0,0,0,"1,510,821",0,0,0,0,0,
0003,Pierce County Transportation Benefit Area Authority,VP,DO,0,0,0,"344,807",0,0,0,0,0,0,0,0,0,0,
0005,Everett Transit,DR,DO,0,0,0,"109,742",0,0,0,0,0,0,0,0,0,0,
0005,Everett Transit,MB,DO,0,0,"354,011",0,0,0,0,0,0,0,0,0,0,0,
0006,Yakima Transit,DR,PT,0,0,"3,816","52,311",0,0,0,0,0,0,0,0,0,0,
0006,Yakima Transit,MB,DO,0,0,"199,603",0,0,0,0,0,0,0,0,0,0,0,
0006,Yakima Transit,VP,DO,0,0,"4,953","32,830",0,0,0,0,0,0,0,0,0,0,
0007,Lane Transit District,DR,PT,0,0,0,"164,197",0,0,0,0,0,0,0,0,0,0,
0007,Lane Transit District,MB,DO,0,0,"735,174",0,0,0,0,0,0,0,0,0,0,0,
0007,Lane Transit District,MB,PT,0,0,0,154,0,0,0,0,0,0,0,0,0,"9,590",
0007,Lane Transit District,RB,DO,0,0,"146,718",0,0,0,0,0,0,0,0,0,0,0,
0007,Lane Transit District,VP,PT,0,0,0,"11,281",0,0,0,0,0,0,0,0,0,0,
0008,Tri-County Metropolitan Transportation District of Oregon,DR,PT,0,0,0,"39,622",0,0,0,0,0,0,0,0,0,"820,227",
0008,Tri-County Metropolitan Transportation District of Oregon,LR,DO,"52,418,093",0,0,0,0,0,0,0,0,0,0,0,0,0,
0008,Tri-County Metropolitan Transportation District of Oregon,MB,DO,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,349,674",
0008,Tri-County Metropolitan Transportation District of Oregon,YR,PT,0,0,0,0,0,0,0,0,0,0,0,0,0,"120,599",
0011,Valley Regional Transit,DR,DO,0,0,"15,376","3,389",0,0,0,0,"32,063",0,0,0,0,0,
0011,Valley Regional Transit,MB,DO,0,0,"43,165","31,089",0,0,0,0,"239,760",0,0,0,0,0,
0012,Municipality of Anchorage - Public Transportation Department,DR,PT,0,0,0,"188,919",0,0,0,0,0,0,0,0,0,0,
0012,Municipality of Anchorage - Public Transportation Department,MB,DO,0,0,"543,923",0,0,0,0,0,0,0,0,0,0,0,
0016,RiverCities Transit ,DR,PT,0,0,"9,446","22,042",0,0,0,0,0,0,0,0,0,0,
0016,RiverCities Transit ,MB,DO,0,0,"54,087",0,0,0,0,0,0,0,0,0,0,0,
0018,Ben Franklin Transit,DR,DO,0,0,"30,785","279,149",0,0,0,0,0,0,0,0,0,0,
0018,Ben Franklin Transit,DR,PT,0,0,"5,310","23,286",0,0,0,0,0,0,0,0,0,0,
0018,Ben Franklin Transit,MB,DO,0,0,"478,851",0,0,0,0,0,0,0,0,0,0,0,
0018,Ben Franklin Transit,VP,DO,0,0,"9,367","330,718",0,0,0,0,0,0,0,0,0,0,
